text,label,text_length,word_count
"this movie could be used in film classes in a how not to script a bmovie course. there are inherent constrictions in a bmovie budgets are tight, time is precious scarecrow was apparently shot in 8 days and the actors are often green and inexperienced. the one aspect you have complete control over is writing the best script you can within the limitations set before you. scarecrows script seems to have been written in a drunken haze. i could go through about fifteen examples of the nonsensical scripting of this movie, but ill just mention one the gravedigger. the character of the gravedigger is introduced about an hour into the movie. he seemingly has no connection to any of the other characters already in the movie. he is shown with his daughter, who also has no connection to anybody else in the movie. the gravedigger is given a couple scenes to act surly in and then is killed to pad out the body count. why give the gravedigger a daughter? why give the daughter a boyfriend? why introduce them so late in the movie? why not try to make them part of the ongoing storyline? scarecrow doesnt seem to care.br br the story of scarecrow goes something like this lester is a high school kid played by and actor whod id peg to be in his early 30s who is picked on by the other kids. he is an artist who draws birds and has a crush on a classmate named judy. his mom is a lush and the town whore. one of her reprobate boyfriends makes fun of his drawings by calling him a faggot for drawing birds instead of monsters and cowboys. if you have a high school student still drawing cowboys id think him to more likely be gay than a high school student who draws crows and later, kills lester, in a cornfield, under the titular scarecrow. magically, lesters soul goes into the scarecrow. somehow, this transference changes lesters soul from that of an artist into that of a wisecracking gymnast i know some reviews have called the scarecrow a kungfu scarecrow. i disagree. the scarecrow practically does a whole floor routine before jumping onto the truck during the climax of the movie. the scarecrow then goes on to kill those who tormented him, those who smoke pot in the corn field, those who dig graves, boyfriends of daughters of gravediggers, pretty much anyone who showed up on the movie set.br br the bonus feature on the dvd should be mentioned. the director a frenchman does an impromptu version of rap music, admits he enjoys not having executives around on set so he can screw his wife while working and gives a quote to live by and im paraphrasing life ez a bitch, but et has a great assbr br number of beers i drank while watching this movie 5 did it help no number of beers needed to enjoy this movie whatever it takes to get to blackout drunk level.",0,2765,505
"prom night is about a girl named donna brittany snow who is being chased by a psycho killer trying to kill her at her prom night. and by doing so killing her family, friends, and her enemies. br br now before i begin let me say have you been tired of pg13 horror movies that havent been scary lately. are you tired of stupid girl dialog oh my god and talking about girlish things. and are you really tired of girls in relationships and then crying. and the last thing are you tired of the us remaking asian, japanese, and chinese films. that pretty much sums up prom night but im still not done with the review.br br the only reason to see prom night is to crack a laugh at the kills. if not, dont see prom night. you never see the kills an only hear screaming and you see some blood on the wall. and by the way the deaths are repeating like 247. so not only arent they scary but its obnoxious. by the time i met the cast i think i was ready to hurl. too much girl talk, too much guy talk, and lots of oh my gosh. its our prom. i understand its fun but seriously is it too much to ask not to concentrate. br br if i were to put prom night on the list of worst films of 2008 without seeing the other films id be the first one too. im not going to be surprised if it gets released on dvd for cheap and quick. seriously dont spend your money or the time for dull acting, cheap scares, and a night to die for when watching the film.br br 1 star out of 10. p.s. if i could give the film zero stars i would.",0,1501,305
"when i first saw the trailer for prom night, i have to admit, the trailer looked good and like this would be a fun horror movie. so my friend and i saw prom night last night and i have to say i must be growing up because this was such a ridicules film, not to mention i am so sick and tired of the typical horror slasher movies with the loud noises as an excuse to scare people. there was no tension, the characters, how was i supposed to care about them? they had no development whatsoever, the killer?! oh, my god, this was very possibly the most stupid serial killer that has ever existed, i know its a film, but why would a man who neveror at least we know of killed any one before, kill a girls family and friends that hes just obsessed over? i mean, was he going to kidnap her or was he going to kill her? i have no idea, because this film made no sense and is too predictable and insulting to true fans of horror.br br donnas family was just brutally murdered by her teacher, who has become very obsessed over her, he was captured and put in jail. its been 3 years and shes just now getting some peace in her life, shes even going to her senior prom. but the killer has escaped and still has donna on his mind, he follows her to her prom which means bad news for her friends, and the hotel maid, and the bell boy, because it is such a good idea to kill the maid and bell boy so no one become suspicious enough to check to see where these employees are. donna is in big trouble because also this killer who is clearly human can apparently get into houses unnoticed and can kill people so silently, just, wow.br br im sorry, i really did want to love this movie, we havent had a good slasher flick in a long time, but this was just a stupid movie that i was not impressed with. just the situations were unbelievable and the actors were obnoxious. i know that this was a pg13 movie, but i just love how someone was brutally stabbed to death and they only have just a little blood on their clothes? not to mention no stab holes? i wouldnt recommend this movie for anyone unless youre a teen, this movie was made for the teenagers, not adults, and not for those who know a real horror movie, no offense to those who did enjoy this film, but i dont understand how anyone could.br br 210",0,2287,445
"finally i thought someone is going to do justice to h.g. wellss classic , not another version set in the wrong locale or era , but one based firmly on the book . well it definitely follows the book pretty closely , and that is the only plus to this mess.br br this is 180 mins yes 3 hours long , the book is only around 150 pages .br br if timothy hines had the nerve to come on here and say if you can do any better ... i would say yes , i could and i have never used a video camera or been to any sort or drama school in my life.br br i paid good money to get this crap over to the uk from the usa , do not make the same mistake as me .",0,638,141
"i was disgusted by this movie. no it wasnt because of the graphic sex scenes, it was because it ruined the image of artemisia gentileschi. this movie does not hold much truth about her and her art. it shows one piece of art work that she did judith beheading holofernese but shows that being entered as testimony in the rape trial when she did not paint her first judith for a year after the trial.br br i dont know if you understood this from the movie, probably not, tassi was not a noble character. he raped artemisia. it was not love, it was rape. he did not claim to accept false charges of rape to stop her from suffering while she was tortured. according to the rape transcripts he continued to claim that he never carnally knew artemisia aka had sex with while she states over and over again its true.br br i encourage all of you people to go out and find about the real artemisia and see what she is really about. dont base all of your knowledge on this fictional movie. i encourage you to do some research, artemisia really does have interesting story behind her and some amazing art work.br br dont see the movie, but find out the true story of artemisia.",0,1166,217
"before starting to watch the show, ive heard it was great and aesthetically very interesting. what a deception, the scripts are so dumb that i am quite sure the authors are son and grandson of scoobidoo writers. and what about the sfx and colors, they are so extreme that it is painful to watch, colors are not saturated they are over saturated, like scripts are overwritten and show is overrated. this show is like a bad pie in which a child would have put only sugar and butter thinking that because these ingredients are the best, they are sufficient. unfortunately for this show, the only two ingredients of this show are finally vacuity and a total lack of credibility.",0,674,119
"i looked over the other comments and was thoroughly amused to find that clearly only people who actually worked on the movie had commented. i mean, i hate to say bad things about an amateur production, but if you make a bad movie and want to comment on it, tone it down a little. groundbreaking is a little over the top. this is a boston based college production that doesnt even achieve the level of most amateur college film. its what you would expect a bunch of kids to do. a silly action film without much creativity. its pretty funny if youre willing to poke fun at it. not something you will ever see unless you are a student at emerson college.",0,651,122
"the good earth is perhaps the most boring film ive seen in my life. the plot is slow and lacking. the acting is borderline comical. while i love paul muni, i can now say i have seen a film that does not do his true ability justice. the only saving grace i found with this film is its production value. the use of hundreds of extras throughout the film creates a very believable and interesting environment. also, the beautiful effects used to create the illusion of millions of wasps sells easily and was revolutionary at the time. other than the production value i can say little else that is good or entertaining about this film.",0,631,115
"i rated this movie a 1 since the plot is so unbelievable unbelievable. judge for yourself. be warned, the following will not only give away the plot, but will also spoil your appetite for watching the movie.br br a computer virus, designed by a frustrated nerd, sends out a code through television screens and computer monitors. when the code in the form of light enters the eye it can access the electrical system of your body. what it does is forcing the body cells into excretion of calcium. within seconds after infection the patient reaches for his neck, develops tunnel vision, his skin will turn white of the calcium, after which he falls and his hand and scull will crack in a cloud of chalk. br br this virus is very intelligent. when it finds out that a blind computer expert is trying to disassemble the code with a braille output device operated by hands the device is set on a very high voltage, which causes severe burning wounds on the skin of the experts head. the virus also senses aggression against remote controls and the keyboard of an atm. fortunately it could be stopped by throwing over outdated desktop pcs in a rack and electrocuting the nerd with his back on a broken computer and his feet in some spilled water.br br oh dear...",0,1255,225
"it was 930 pm last night at my friends camping trailer and we were so hyped to watch south park a new episode. the thing is, in my country, south park airs at 1030 pm and we decided to kill time by watching the show now airing, father of the pride. ill start by saying that i have only watched to episodes. the first time i watched it, i found it unfunny and crude for nothing, so i thought holy sht, i have a football game early tomorrow, so i have to stop watching stupid cartoons. but yesterday, i tried to give father of the pride a second chance. i find that its a complete ripoff of the simpsons, only replacing yellow human characters by lions instead.br br the second thing is i wonder why it got its tv14 rating. i find the simpsons a lot more vulgar, and the only real vulgarity in this show is a few homosexual unfunny jokes. the simpsons is also a lot more violent halloween specials and crude. i also heard that the creator of the series has also directed shrek 2, well ive got news for him shrek 2 was way better and i think he stayed too much in the family thematic. however, i must admit that father of the pride did make me smile even burst out laughing once three or four times.br br all in all, i dont mind father of the pride. i dont hate it, but i dont like either. ive seen way better from the simpsons.br br 3.510",0,1336,261
